0 START simple_strategy 20
913 MOVE 31 4
914 MOVE 33 4
915 MOVE 26 4
916 MOVE 32 4
917 MOVE 8 4
918 MOVE 8 2
919 MOVE 32 2
920 MOVE 26 2
921 MOVE 33 2
922 MOVE 31 2
923 MOVE 37 2
924 MOVE 15 9
925 MOVE 30 9
926 MOVE 11 9
927 MOVE 2 9
928 MOVE 2 6
929 MOVE 11 6
930 MOVE 30 6
931 MOVE 15 6
932 MOVE 29 6
933 REMOVE 43
933 CASH 327
934 REMOVE 48
934 CASH 327
935 MOVE 47 16
936 MOVE 45 16
937 MOVE 10 16
938 MOVE 6 16
939 MOVE 6 12
940 MOVE 10 12
941 MOVE 45 12
942 MOVE 47 12
943 MOVE 34 1
944 MOVE 41 1
945 MOVE 0 1
946 MOVE 0 0
947 MOVE 41 0
948 MOVE 34 0
949 MOVE 37 4
950 MOVE 31 4
951 MOVE 33 4
952 MOVE 26 4
953 MOVE 32 4
954 MOVE 8 4
955 MOVE 8 2
956 MOVE 32 2
957 ADD 49 0
958 MOVE 49 1
959 MOVE 34 1
960 MOVE 41 1
961 MOVE 0 1
962 MOVE 0 0
963 MOVE 41 0
964 MOVE 34 0
965 MOVE 49 0
966 MOVE 32 4
967 MOVE 8 4
968 MOVE 8 2
969 MOVE 32 2
970 MOVE 26 2
971 MOVE 33 2
972 MOVE 31 2
973 MOVE 37 2
974 MOVE 29 9
975 MOVE 15 9
976 MOVE 30 9
977 MOVE 11 9
978 MOVE 2 9
979 MOVE 2 6
980 MOVE 11 6
981 MOVE 30 6
982 MOVE 15 6
983 MOVE 29 6
984 MOVE 47 16
985 MOVE 45 16
986 MOVE 10 16
987 MOVE 6 16
988 MOVE 6 12
989 MOVE 10 12
990 MOVE 45 12
991 MOVE 47 12
992 MOVE 49 1
993 MOVE 34 1
994 MOVE 41 1
995 MOVE 0 1
996 MOVE 0 0
997 MOVE 41 0
998 MOVE 34 0
999 MOVE 49 0
1000 MOVE 37 4
1001 MOVE 31 4
1002 MOVE 33 4
1003 MOVE 26 4
1004 MOVE 32 4
1005 MOVE 8 4
1006 MOVE 8 2
1007 MOVE 32 2
1008 MOVE 26 2
1009 MOVE 33 2
1010 MOVE 31 2
1011 MOVE 37 2
1012 MOVE 29 9
1013 MOVE 15 9
1014 MOVE 30 9
1015 MOVE 11 9
1016 MOVE 2 9
1017 MOVE 2 6
1018 MOVE 11 6
1019 MOVE 30 6
1020 MOVE 15 6
1021 MOVE 29 6
1022 MOVE 47 16
1023 MOVE 45 16
1024 MOVE 10 16
1025 MOVE 6 16
1026 MOVE 6 12
1027 MOVE 10 12
1028 MOVE 45 12
1029 MOVE 47 12
1030 MOVE 49 1
1031 MOVE 34 1
1032 MOVE 41 1
1033 MOVE 0 1
1034 MOVE 0 0
1035 MOVE 41 0
1036 MOVE 34 0
1037 MOVE 49 0
1038 MOVE 37 4
1039 MOVE 31 4
1040 MOVE 33 4
1041 MOVE 26 4
1042 MOVE 32 4
1043 MOVE 8 4
1044 MOVE 8 2
1045 ADD 50 0
1046 MOVE 50 1
1047 MOVE 49 1
1048 MOVE 34 1
1049 MOVE 41 1
1050 MOVE 0 1
1051 MOVE 0 0
1052 MOVE 41 0
1053 MOVE 34 0
1054 REMOVE 49
1054 CASH 328
1055 MOVE 50 0
1056 MOVE 8 4
1057 MOVE 8 2
1058 MOVE 32 2
1059 MOVE 26 2
1060 MOVE 33 2
1061 MOVE 31 2
1062 MOVE 37 2
1063 MOVE 29 9
1064 MOVE 15 9
1065 MOVE 30 9
1066 MOVE 11 9
1067 MOVE 2 9
1068 MOVE 2 6
1069 MOVE 11 6
1070 MOVE 30 6
1071 ADD 51 2
1072 MOVE 50 1
1073 MOVE 34 1
1074 MOVE 41 1
1075 MOVE 0 1
1076 MOVE 0 0
1077 ADD 52 6
1078 MOVE 0 1
1079 MOVE 0 0
1080 MOVE 41 0
1081 MOVE 34 0
1082 MOVE 50 0
1083 MOVE 51 4
1084 MOVE 37 4
1085 MOVE 31 4
1086 MOVE 33 4
1087 ADD 53 2
1088 MOVE 50 1
1089 MOVE 34 1
1090 MOVE 41 1
1091 MOVE 0 1
1092 MOVE 0 0
1093 MOVE 41 0
1094 MOVE 34 0
1095 MOVE 50 0
1096 MOVE 53 4
1097 MOVE 26 4
1098 MOVE 32 4
1099 MOVE 8 4
1100 ADD 54 6
1101 MOVE 50 1
1102 MOVE 34 1
1103 MOVE 41 1
1104 MOVE 0 1
1105 MOVE 0 0
1106 MOVE 41 0
1107 MOVE 34 0
1108 MOVE 50 0
1109 MOVE 8 2
1110 MOVE 32 2
1111 MOVE 26 2
1112 MOVE 53 2
1113 MOVE 33 2
1114 MOVE 31 2
1115 MOVE 37 2
1116 MOVE 51 2
1117 MOVE 54 9
1118 MOVE 52 9
1119 MOVE 30 9
1120 MOVE 11 9
1121 MOVE 2 9
1122 MOVE 2 6
1123 MOVE 11 6
1124 MOVE 30 6
1125 MOVE 52 6
1126 MOVE 54 6
1127 MOVE 15 6
1128 MOVE 29 6
1129 MOVE 47 16
1130 ADD 55 12
1131 MOVE 50 1
1132 MOVE 34 1
1133 ADD 56 12
1134 MOVE 41 1
1135 MOVE 0 1
1136 MOVE 0 0
1137 MOVE 41 0
1138 MOVE 34 0
1139 MOVE 50 0
1140 MOVE 51 4
1141 MOVE 37 4
1142 REMOVE 31
1142 CASH 333
1143 MOVE 33 4
1144 MOVE 53 4
1145 MOVE 26 4
1146 MOVE 32 4
1147 MOVE 8 4
1148 MOVE 8 2
1149 MOVE 32 2
1150 MOVE 26 2
1151 MOVE 53 2
1152 MOVE 33 2
1153 MOVE 37 2
1154 MOVE 51 2
1155 MOVE 29 9
1156 MOVE 15 9
1157 MOVE 54 9
1158 MOVE 52 9
1159 MOVE 30 9
1160 MOVE 11 9
1161 MOVE 2 9
1162 MOVE 2 6
1163 MOVE 11 6
1164 MOVE 30 6
1165 MOVE 52 6
1166 MOVE 54 6
1167 ADD 57 6
1168 MOVE 50 1
1169 MOVE 34 1
1170 ADD 58 6
1171 MOVE 41 1
1172 MOVE 0 1
1173 MOVE 0 0
1174 MOVE 41 0
1175 ADD 59 6
1176 MOVE 41 1
1177 MOVE 0 1
1178 MOVE 0 0
1179 MOVE 41 0
1180 MOVE 34 0
1181 REMOVE 50
1181 CASH 337
1182 MOVE 51 4
1183 MOVE 37 4
1184 MOVE 33 4
1185 MOVE 53 4
1186 MOVE 26 4
1187 MOVE 32 4
1188 MOVE 8 4
1189 MOVE 8 2
1190 MOVE 32 2
1191 MOVE 26 2
1192 MOVE 53 2
1193 MOVE 33 2
1194 MOVE 37 2
1195 MOVE 51 2
1196 MOVE 59 9
1197 REMOVE 58
1197 CASH 341
1198 MOVE 57 9
1199 REMOVE 54
1199 CASH 344
1200 MOVE 52 9
1201 MOVE 30 9
1202 MOVE 11 9
1203 MOVE 2 9
1204 MOVE 2 6
1205 MOVE 11 6
1206 MOVE 30 6
1207 MOVE 52 6
1208 MOVE 57 6
1209 MOVE 59 6
1210 MOVE 15 6
1211 MOVE 29 6
1212 REMOVE 56
1212 CASH 348
1213 REMOVE 55
1213 CASH 348
1214 MOVE 45 16
1215 MOVE 10 16
1216 MOVE 6 16
1217 MOVE 6 12
1218 MOVE 10 12
1219 MOVE 45 12
1220 MOVE 47 12
1221 ADD 60 2
1222 MOVE 34 1
1223 MOVE 41 1
1224 MOVE 0 1
1225 MOVE 0 0
1226 MOVE 41 0
1227 MOVE 34 0
