0 START simple_strategy 35
530 MOVE 6 1
531 MOVE 2 1
532 MOVE 1 1
533 MOVE 1 0
534 MOVE 2 0
535 MOVE 6 0
536 MOVE 11 0
537 MOVE 13 0
538 MOVE 3 4
539 MOVE 10 4
540 MOVE 10 2
541 ADD 19 6
542 MOVE 13 1
543 MOVE 11 1
544 MOVE 6 1
545 MOVE 2 1
546 MOVE 1 1
547 MOVE 1 0
548 MOVE 2 0
549 MOVE 6 0
550 ADD 20 0
551 MOVE 20 1
552 MOVE 6 1
553 MOVE 2 1
554 MOVE 1 1
555 MOVE 1 0
556 MOVE 2 0
557 MOVE 6 0
558 MOVE 20 0
559 MOVE 11 0
560 MOVE 13 0
561 MOVE 10 4
562 MOVE 10 2
563 MOVE 3 2
564 MOVE 4 2
565 MOVE 19 9
566 MOVE 18 9
567 MOVE 7 9
568 MOVE 5 9
569 MOVE 0 9
570 MOVE 9 9
571 MOVE 9 6
572 MOVE 0 6
573 MOVE 5 6
574 MOVE 7 6
575 MOVE 18 6
576 MOVE 19 6
577 MOVE 14 6
578 MOVE 15 6
579 MOVE 17 16
580 MOVE 17 12
581 MOVE 12 12
582 MOVE 13 1
583 MOVE 11 1
584 MOVE 20 1
585 MOVE 6 1
586 MOVE 2 1
587 MOVE 1 1
588 MOVE 1 0
589 MOVE 2 0
590 MOVE 6 0
591 MOVE 20 0
592 MOVE 11 0
593 MOVE 13 0
594 MOVE 4 4
595 MOVE 3 4
596 MOVE 10 4
597 MOVE 10 2
598 MOVE 3 2
599 MOVE 4 2
600 MOVE 15 9
601 MOVE 14 9
602 MOVE 19 9
603 MOVE 18 9
604 MOVE 7 9
605 MOVE 5 9
606 MOVE 0 9
607 MOVE 9 9
608 MOVE 9 6
609 MOVE 0 6
610 MOVE 5 6
611 MOVE 7 6
612 MOVE 18 6
613 MOVE 19 6
614 MOVE 14 6
615 MOVE 15 6
616 MOVE 12 16
617 MOVE 17 16
618 MOVE 17 12
619 MOVE 12 12
620 MOVE 13 1
621 MOVE 11 1
622 MOVE 20 1
623 ADD 21 6
624 MOVE 6 1
625 MOVE 2 1
626 MOVE 1 1
627 MOVE 1 0
628 MOVE 2 0
629 MOVE 6 0
630 MOVE 20 0
631 MOVE 11 0
632 MOVE 13 0
633 MOVE 4 4
634 MOVE 3 4
635 MOVE 10 4
636 ADD 22 2
637 MOVE 13 1
638 MOVE 11 1
639 MOVE 20 1
640 MOVE 6 1
641 MOVE 2 1
642 MOVE 1 1
643 MOVE 1 0
644 MOVE 2 0
645 MOVE 6 0
646 MOVE 20 0
647 MOVE 11 0
648 MOVE 13 0
649 MOVE 22 4
650 MOVE 22 2
651 MOVE 10 2
652 MOVE 3 2
653 MOVE 4 2
654 MOVE 21 9
655 MOVE 15 9
656 MOVE 14 9
657 MOVE 19 9
658 REMOVE 18
658 CASH 8
659 MOVE 7 9
660 MOVE 5 9
661 MOVE 0 9
662 MOVE 9 9
663 MOVE 9 6
664 MOVE 0 6
665 MOVE 5 6
666 MOVE 7 6
667 MOVE 19 6
668 MOVE 14 6
669 MOVE 15 6
670 MOVE 21 6
671 MOVE 12 16
672 ADD 23 0
673 MOVE 23 1
674 MOVE 13 1
675 MOVE 11 1
676 MOVE 20 1
677 MOVE 6 1
678 MOVE 2 1
679 MOVE 1 1
680 MOVE 1 0
681 MOVE 2 0
682 MOVE 6 0
683 MOVE 20 0
684 MOVE 11 0
685 MOVE 13 0
686 MOVE 23 0
687 MOVE 4 4
688 MOVE 3 4
689 MOVE 10 4
690 MOVE 22 4
691 MOVE 22 2
692 MOVE 10 2
693 MOVE 3 2
694 MOVE 4 2
695 REMOVE 21
695 CASH 15
696 MOVE 15 9
697 MOVE 14 9
698 MOVE 19 9
699 MOVE 7 9
700 MOVE 5 9
701 MOVE 0 9
702 MOVE 9 9
703 MOVE 9 6
704 MOVE 0 6
705 MOVE 5 6
706 MOVE 7 6
707 MOVE 19 6
708 MOVE 14 6
709 MOVE 15 6
710 MOVE 17 16
711 MOVE 17 12
712 MOVE 12 12
713 MOVE 23 1
714 MOVE 13 1
715 MOVE 11 1
716 MOVE 20 1
717 MOVE 6 1
718 ADD 24 12
719 MOVE 2 1
720 MOVE 1 1
721 MOVE 1 0
722 MOVE 2 0
723 ADD 25 12
724 MOVE 2 1
725 MOVE 1 1
726 MOVE 1 0
727 MOVE 2 0
728 MOVE 6 0
729 MOVE 20 0
730 MOVE 11 0
731 MOVE 13 0
732 ADD 26 12
733 MOVE 13 1
734 MOVE 11 1
735 MOVE 20 1
736 MOVE 6 1
737 MOVE 2 1
738 MOVE 1 1
739 MOVE 1 0
740 MOVE 2 0
741 MOVE 6 0
742 ADD 27 12
743 MOVE 6 1
744 MOVE 2 1
745 MOVE 1 1
746 MOVE 1 0
747 MOVE 2 0
748 MOVE 6 0
749 MOVE 20 0
750 MOVE 11 0
751 MOVE 13 0
752 MOVE 23 0
753 MOVE 4 4
754 MOVE 3 4
755 MOVE 10 4
756 MOVE 22 4
757 MOVE 22 2
758 MOVE 10 2
759 MOVE 3 2
760 MOVE 4 2
761 MOVE 15 9
762 MOVE 14 9
763 MOVE 19 9
764 MOVE 7 9
765 MOVE 5 9
766 MOVE 0 9
767 MOVE 9 9
768 MOVE 9 6
769 MOVE 0 6
770 MOVE 5 6
771 MOVE 7 6
772 MOVE 19 6
773 ADD 28 0
774 MOVE 28 1
775 MOVE 23 1
776 MOVE 13 1
777 MOVE 11 1
778 MOVE 20 1
779 MOVE 6 1
780 MOVE 2 1
781 MOVE 1 1
782 MOVE 1 0
783 MOVE 2 0
784 MOVE 6 0
785 MOVE 20 0
786 MOVE 11 0
787 MOVE 13 0
788 MOVE 23 0
789 MOVE 28 0
790 MOVE 4 4
